year,count_total,color
2012,109,Black
2012,12,Natural
2012,15,Navy
2012,43,White
2013,242,Black
2013,4,Java
2013,40,Natural
2013,34,Navy
2013,106,White
2014,313,Black
2014,2,ChiliPepperRed
2014,2,Java
2014,42,Natural
2014,58,Navy
2014,149,White
2015,356,Black
2015,20,Ivory
2015,3,Java
2015,34,Natural
2015,56,Navy
2015,190,White
2016,333,Black
2016,2,ChiliPepperRed
2016,18,Ivory
2016,3,Java
2016,54,Natural
2016,39,Navy
2016,184,White
2017,250,Black
2017,5,ChiliPepperRed
2017,13,FuchsiaPurple
2017,30,Ivory
2017,1,Java
2017,42,Natural
2017,44,Navy
2017,29,SlateGray
2017,150,White
2018,198,Black
2018,17,ChiliPepperRed
2018,12,FuchsiaPurple
2018,19,Ivory
2018,38,Natural
2018,50,Navy
2018,40,SlateGray
2018,182,White
2019,227,Black
2019,16,Bluestone
2019,15,ChiliPepperRed
2019,16,FuchsiaPurple
2019,28,Ivory
2019,1,Java
2019,6,Natural
2019,38,Navy
2019,36,SlateGray
2019,116,White
2020,218,Black
2020,15,Bluestone
2020,11,ChiliPepperRed
2020,21,FuchsiaPurple
2020,30,Ivory
2020,14,Natural
2020,56,Navy
2020,27,SlateGray
2020,123,White
2021,24,Black
2021,3,Bluestone
2021,1,ChiliPepperRed
2021,5,FuchsiaPurple
2021,4,Ivory
2021,1,Natural
2021,4,Navy
2021,10,SlateGray
2021,16,White
