sku,product_num,product_color,product_size,total_each_sku,product_unit_price,order_date,order_id
1050-Black-M,1050,Black,M,1,109,2018/01/01,3649
401-Black-XL,401,Black,XL,2,72,2018/01/01,3643
2000-White-L,2000,White,L,1,78,2018/01/01,3653
2000-SlateGray-L,2000,SlateGray,L,1,72,2018/01/01,3653
2000-Navy-XL,2000,Navy,XL,1,78,2018/01/01,3642
2000-White-XL,2000,White,XL,1,78,2018/01/01,3642
802-White-XL,802,White,XL,1,84,2018/01/01,3641
402-ChiliPepperRed-XL,402,ChiliPepperRed,XL,1,60,2018/01/01,3641
501-Black-S,501,Black,S,1,74,2019/01/01,3816
501-SlateGray-S,501,SlateGray,S,1,74,2019/01/01,3816
230-White-S,230,White,S,1,80,2019/01/01,3816
230-SlateGray-S,230,SlateGray,S,1,80,2019/01/01,3816
601-White-S,601,White,S,1,84,2019/01/01,3816
601-Black-S,601,Black,S,1,84,2019/01/01,3816
230-Black-L,230,Black,L,1,80,2019/01/01,3813
9001-White-M,9001,White,M,1,84,2019/01/01,3812
9001-Black-L,9001,Black,L,2,86.44,2019/01/01,3810
501-White-S,501,White,S,1,74,2019/01/01,3814
501-Ivory-S,501,Ivory,S,1,74,2019/01/01,3814
501-Black-S,501,Black,S,1,74,2019/01/01,3814
601-Black-XS,601,Black,XS,1,66.74,2016/01/01,2366
301-Black-XS,301,Black,XS,1,63.8,2016/01/01,2368
501-Black-M,501,Black,M,1,63.8,2016/01/01,2368
601-Black-XS,601,Black,XS,1,63.8,2016/01/01,2368
402-Black-XL,402,Black,XL,2,80,2020/01/01,4177
802-Bluestone-M,802,Bluestone,M,1,84,2020/01/01,4174
802-Navy-M,802,Navy,M,1,84,2020/01/01,4174
802-Black-S,802,Black,S,1,84,2020/01/01,4173
301-White-M,301,White,M,1,74,2020/01/01,4173
202-Natural-L,202,Natural,L,2,80,2020/01/01,4179
202-White-L,202,White,L,1,80,2020/01/01,4179
202-Natural-M,202,Natural,M,1,71,2014/01/01,1705
402-Navy-XS,402,Navy,XS,1,74.26,2014/01/01,1690
230-Black-M,230,Black,M,1,74.26,2014/01/01,1715
302-Black-XL,302,Black,XL,1,69,2014/01/01,1722
802-White-L,802,White,L,1,73.06,2014/01/01,1725
1031-Black-M,1031,Black,M,2,10.76,2014/01/01,1687
802-Black-XL,802,Black,XL,1,76.41,2014/01/01,1687
301-Black-L,301,Black,L,1,63.8,2014/01/01,1703
2000-Navy-L,2000,Navy,L,1,101.87,2014/01/01,1684
202-Natural-S,202,Natural,S,1,71,2014/01/01,1698
402-Black-M,402,Black,M,1,71,2014/01/01,1695
402-Black-L,402,Black,L,1,74.26,2014/01/01,1694
402-White-L,402,White,L,1,74.26,2014/01/01,1694
2000-Navy-S,2000,Navy,S,1,101.87,2014/01/01,1732
202-Black-S,202,Black,S,1,71,2014/01/01,1699
202-Black-M,202,Black,M,1,71,2014/01/01,1699
202-Black-L,202,Black,L,1,71,2014/01/01,1699
302-Black-XL,302,Black,XL,1,69,2014/01/01,1704
301-Black-XL,301,Black,XL,1,62,2014/01/01,1704
1050-Black-XL,1050,Black,XL,1,99,2014/01/01,1704
302-White-XL,302,White,XL,1,71,2014/01/01,1683
1050-White-XL,1050,White,XL,1,101.87,2014/01/01,1683
202-Natural-M,202,Natural,M,2,71,2014/01/01,1700
302-Black-M,302,Black,M,1,71,2014/01/01,1700
101-Natural-L,101,Natural,L,1,46.31,2014/01/01,1701
1060-White-M/L,1060,White,M/L,1,50.42,2014/01/01,1697
401-Natural-M,401,Natural,M,1,35,2016/01/01,2771
501-Natural-XS,501,Natural,XS,1,41.98,2016/01/01,2704
202-Natural-S,202,Natural,S,1,69,2016/01/01,2775
202-Natural-S,202,Natural,S,1,69,2016/01/01,2769
202-Natural-S,202,Natural,S,1,69,2016/01/01,2767
501-Natural-XS,501,Natural,XS,1,39,2016/01/01,2766
401-Natural-S,401,Natural,S,1,35,2016/01/01,2766
101-Natural-L,101,Natural,L,2,39,2016/01/01,2773
1031-White-L,1031,White,L,3,8,2016/01/01,2764
1031-Black-M,1031,Black,M,3,8,2016/01/01,2764
401-Natural-M,401,Natural,M,1,35,2016/01/01,2764
1031-Black-M,1031,Black,M,2,8,2016/01/01,2776
1031-Black-S,1031,Black,S,1,8,2016/01/01,2776
1040-Black-XS,1040,Black,XS,1,65,2016/01/01,2776
101-Natural-L,101,Natural,L,1,40.13,2016/01/01,2777
202-Natural-L,202,Natural,L,1,71,2016/01/01,2777
1031-Black-M,1031,Black,M,1,8.23,2016/01/01,2777
402-Black-M,402,Black,M,1,79.66,2016/01/01,2856
401-White-M,401,White,M,1,72.13,2016/01/01,2856
402-White-L,402,White,L,1,79.66,2016/01/01,2856
801-Black-M,801,Black,M,1,73.2,2016/01/01,2856
601-Black-S,601,Black,S,1,77.51,2017/01/01,3153
601-White-S,601,White,S,1,77.51,2017/01/01,3153
301-Navy-M,301,Navy,M,1,74,2019/01/01,3833
802-Bluestone-XL,802,Bluestone,XL,1,84,2019/01/01,3831
802-Black-XL,802,Black,XL,2,84,2019/01/01,3831
402-Black-XL,402,Black,XL,2,80,2019/01/01,3831
302-Bluestone-XL,302,Bluestone,XL,1,80,2019/01/01,3831
